base;nombre;apellido
Pedro López Calderón;Pedro;López Calderón
Sebastián López de Arteaga;Sebastián;López de Arteaga
Alonso López de Herrera;Alonso;López de Herrera
Francisco López y Castro;Francisco;López y Castro
Estevao do Loreto Joassar;Estevao do;Loreto Joassar
Francisco Lovera;Francisco;Lovera
William Lovett;William;Lovett
José Lozano;José;Lozano
Cristóbal Lozano;Cristóbal;Lozano
Bosset de Luze;Bosset de;Luze
Francisco Macías;Francisco;Macías
Ebenezer Mack;Ebenezer;Mack
MacKay;;MacKay
Mariano Salvador Maella;Mariano Salvador;Maella
Jacob Maentel;Jacob;Maentel
Domingo Maestre;Domingo;Maestre
Matías Maestro;Matías;Maestro
José Joaquín Magón;José Joaquín;Magón
Edward Greene Malbone;Edward Greene;Malbone
Luis Francisco Maldonado;Luis Francisco;Maldonado
Miguel Mateo Maldonado;Miguel Mateo;Maldonado
Juan Manosalvas;Juan;Manosalvas
Padre Manuel, El Jesuita;Padre;Manuel El Jesuita
Carlo Maratta;Carlo;Maratta
Carlos Maratta;Carlos;Maratta
Manuel Marimón;Manuel;Marimón
Francisco Martínez;Francisco;Martínez
José Martínez;José;Martínez
Pedro Martínez;Pedro;Martínez
Miguel Antonio Martínez de Pocasangre;Miguel Antonio;Martínez de Pocasangre
Manuel Martínez Zaldúa;Manuel;Martínez Zaldúa
Antonio Martins da Silveira;Antonio;Martins da Silveira
Eusebio de Matos;Eusebio de;Matos
Paolo de Matteis;Paolo de;Matteis
Frederick W. Mayhew;Frederick W.;Mayhew
James McArdell;James;McArdell
Thomas McIlworth;Thomas;McIlworth
José Medina;José;Medina
Angelino Medoro;Angelino;Medoro
Luis de Mena;Luis de;Mena
Diego de Mendoza;Diego de;Mendoza
Miguel de Mendoza;Miguel de;Mendoza
José Mendoza;José;Mendoza
José Mendoza Moctezuma;José;Mendoza Moctezuma
Mercado;;Mercado
Manuel Merchán Cano;Manuel;Merchán Cano
Tomás de Merlo;Tomás de;Merlo
Antonio Mermejo;Antonio;Mermejo
Eliab Metcalf;Eliab;Metcalf
Mateo Mexia;Mateo;Mexia
Jeremiah Meyer;Jeremiah;Meyer
John Izard Middleton;John Izard;Middleton
Bernardo de Miera;Bernardo de;Miera
John Miers;John;Miers
Abraham Mignon;Abraham;Mignon
Edward Miles;Edward;Miles
Juan Rubí de Miramón;Juan Rubí de;Miramón
Francisco Benito de Miranda;Francisco Benito de;Miranda
Theodore Moise;Theodore;Moise
Antonio Molleno;Antonio;Molleno
Isidoro Francisco de Moncada;Isidoro Francisco de;Moncada
Francisco de Moncada;Francisco de;Moncada
Isidoro de Moncada;Isidoro de;Moncada
Antonio de Montúfar;Antonio de;Montúfar
José de Mora;José de;Mora
Juan de Mora;Juan de;Mora
Jean de Morainville;Jean de;Morainville
José Morales Pbro;José;Morales
Francisco de Morales;Francisco de;Morales
Luis Morales;Luis;Morales
Matheo Moreno;Matheo;Moreno
Francisco Morlete;Francisco;Morlete
Juan Patricio Morlete Ruiz;Juan Patricio;Morlete Ruiz
Mariano Morlette;Mariano;Morlette
Samuel F. B. Morse;Samuel F. B.;Morse
José de la Mota;José de la;Mota
Reuben Moulthrop;Reuben;Moulthrop
William Sidney Mount;William Sidney;Mount
Cristóforo Munari;Cristóforo;Munari
Benito Muñoz;Benito;Muñoz
Gaspar Muñoz;Gaspar;Muñoz
Blas Muñoz del Barco;Blas;Muñoz del Barco
Girolamo Muziano;Girolamo;Muziano
Joao Francisco Muzzi;Joao Francisco;Muzzi
Angelus Nardi;Angelus;Nardi
Juan Bautista Narria;Juan Bautista;Narria
Alonso de Narváez;Alonso de;Narváez
Joaquim José da Natividade;Joaquim José da;Natividade
A Nava;A;Nava
José Navarro;José;Navarro
Francois Joseph Navez;Francois Joseph;Navez
John Neagle;John;Neagle
Enrique Nicolás;Enrique;Nicolás
Bernabé Nina;Bernabé;Nina
Luis Niño;Luis;Niño
Pedro Nolasco;Pedro;Nolasco
Pedro José Noriega;Pedro José;Noriega
José Núñez de Sotomayor;José;Núñez de Sotomayor
Alonso O’Crowley;Alonso;O’Crowley
Diego de Ocaña;Diego de;Ocaña
Juan Francisco Ochoa;Juan Francisco;Ochoa
Francisco Ochoa;Francisco;Ochoa
Mercedes Ogazón;Mercedes;Ogazón
Nicolás de Oliva;Nicolás de;Oliva
Florentino Olivares;Florentino;Olivares
Francisco de Paula Oliveira Dias;Francisco de Paula;Oliveira Dias
José Oliveira Rosa;José;Oliveira Rosa
Manuel Oquendo;Manuel;Oquendo
Francisco Ortega;Francisco;Ortega
Ignacio Ortega;Ignacio;Ortega
José Ortiz;José;Ortiz
Pedro Tiburcio Ortíz;Pedro Tiburcio;Ortíz
Juan Osorio;Juan;Osorio
Félix Ospino;Félix;Ospino
Bass Otis;Bass;Otis
Gabriel José Ovalle;Gabriel José;Ovalle
Pedro Ovalle Díaz;Pedro;Ovalle Díaz
Luís de Oviedo;Luís de;Oviedo
Basilio Pacheco;Basilio;Pacheco
Francisco de Padilla;Francisco de;Padilla
José Padilla;José;Padilla
Padilla;;Padilla
José de Páez;José de;Páez
José Páez;José;Páez
William Page;William;Page
Antonio Palacios;Antonio;Palacios
Ascencio Palacios;Ascencio;Palacios
Manuel Palacios;Manuel;Palacios
Armand Julien Palliere;Armand Julien;Palliere
Jane Palmer;Jane;Palmer
John Paradise;John;Paradise
Pedro Pardo;Pedro;Pardo
Lázaro Pardo de Cárdenas;Lázaro;Pardo de Cárdenas
Juan Pardo de Lago Osorio;Juan;Pardo de Lago Osorio
Lázaro Pardo de Lagos;Lázaro;Pardo de Lagos
Paredes;;Paredes
Nehemiah Partridge;Nehemiah;Partridge
Jeremiah Paul;Jeremiah;Paul
Manuel Paz;Manuel;Paz
Mateo Paz;Mateo;Paz
Raphaelle Peale;Raphaelle;Peale
Anna Claypoole Peale;Anna Claypoole;Peale
Charles Willson Peale;Charles Willson;Peale
Sarah Miriam Peale;Sarah Miriam;Peale
James Peale;James;Peale
Rembrandt Peale;Rembrandt;Peale
Charles Peale Polk;Charles;Peale Polk
James M. Pearce;James M.;Pearce
Sheldon Peck;Sheldon;Peck
Lewis Peckham;Lewis;Peckham
Robert Peckham;Robert;Peckham
John Ritto Penniman;John Ritto;Penniman
Rafael de la Peña;Rafael de la;Peña
D. Peña;D.;Peña
Mariano Peña y Herrera;Mariano;Peña y Herrera
José Antonio Peñaloza;José Antonio;Peñaloza
Tomás Javier de Peralta;Tomás Javier de;Peralta
José de Peralta;José de;Peralta
Javier Peralta;Javier;Peralta
Iones Peres;Iones;Peres
Simón Pereyns;Simón;Pereyns
A. Pérez;A.;Pérez
Bartolomé Pérez;Bartolomé;Pérez
Diego Pérez;Diego;Pérez
Pascual Pérez;Pascual;Pérez
Vicente Pérez;Vicente;Pérez
Antonio Pérez de Aguilar;Antonio;Pérez de Aguilar
Mateo Pérez de Alesio;Mateo;Pérez de Alesio
Melchor Pérez de Holguín;Melchor;Pérez de Holguín
Fabián Pérez de Medina;Fabián;Pérez de Medina
José Pérez de Parada;José;Pérez de Parada
Juan Pérez de Salazar;Juan;Pérez de Salazar
Pérez M.;;Pérez M.
Juan Pérez Mejía;Juan;Pérez Mejía
José Perovani;José;Perovani
Philippe Abraham Peticolas;Philippe Abraham;Peticolas
Martín de Petris;Martín de;Petris
Ammi Phillips;Ammi;Phillips
Juan Bautista Piazzeta;Juan Bautista;Piazzeta
Ricardo do Pilar;Ricardo do;Pilar
Robert Edge Pine;Robert Edge;Pine
José Pinhão de Matos;José;Pinhão de Matos
Eunice Pinney;Eunice;Pinney
Ambrosio del Pino;Ambrosio del;Pino
A. Pino;A.;Pino
Manuel de Jesús Pinto;Manuel de Jesús;Pinto
Antonio Pinto;Antonio;Pinto
Joaquín Pinto;Joaquín;Pinto
José Salomón Piña;José Salomón;Piña
Bernardo Pires da Silva;Bernardo;Pires da Silva
Mateo Pizarro;Mateo;Pizarro
George Place;George;Place
Miguel Po…;Miguel;Po…
Charles Polk;Charles;Polk
Pollard Limner;Limner;Pollard
Felipe Guamán Poma de Ayala;Felipe Guamán;Poma de Ayala
María de Jesús Ponce;María de Jesús;Ponce
Alonso de Ponte;Alonso de;Ponte
Lorenzo de Ponte;Lorenzo de;Ponte
Rufus Porter;Rufus;Porter
Frans Post;Frans;Post
Lorenzo de Poveda;Lorenzo de;Poveda
Asahel Powers;Asahel;Powers
José Joaquín del Pozo;José Joaquín del;Pozo
Francisco del Pozo;Francisco del;Pozo
José del Pozo;José del;Pozo
Andrés Pozzo;Andrés;Pozzo
Juan Antonio Prado;Juan Antonio;Prado
Pedro del Prado;Pedro del;Prado
Mattew Pratt;Mattew;Pratt
Matthew Pratt;Matthew;Pratt
José de Priego;José de;Priego
William Matthew Prior;William Matthew;Prior
Diego de la Puente;Diego de la;Puente
Mateo Pumaqawa;Mateo;Pumaqawa
Carolus Quesada;Carolus;Quesada
Francisco de Quispe;Francisco de;Quispe
Diego Quispe Tito;Diego;Quispe Tito
José Rabelo de Vasconcelos;José;Rabelo de Vasconcelos
Francis Rabineau;Francis;Rabineau
John Ramage;John;Ramage
Manuel Ramírez;Manuel;Ramírez
Pedro Ramírez;Pedro;Ramírez
Antonio Ramírez Montufar;Antonio;Ramírez Montufar
Juan Ramos;Juan;Ramos
A.M. Randall;A.M.;Randall
Manoel Rebelo e Souza;Manoel;Rebelo e Souza
Rebolledo;;Rebolledo
Philip Reinagle;Philip;Reinagle
Paul Revere;Paul;Revere
Joshua Reynolds;Joshua;Reynolds
Luis de Riaño;Luis de;Riaño
Manuel Ribeiro Rosa;Manuel;Ribeiro Rosa
Marcos de Ribera;Marcos de;Ribera
José Ribera;José;Ribera
Juan Agustín Riera;Juan Agustín;Riera
John Francis Rigaud;John Francis;Rigaud
Peter Rindisbacher;Peter;Rindisbacher
Juan del Río;Juan del;Río
Hipólito de Rioja;Hipólito de;Rioja
José López de los Ríos;José;López de los Ríos
Ignacio de Ríos;Ignacio de;Ríos
Francisco Ríos;Francisco;Ríos
José de Rivafrecha y Jordán;José de;Rivafrecha y Jordán
Felipe de Rivera;Felipe de;Rivera
José Marcelino de Rivera y Argonanis;José Marcelino de;Rivera y Argonanis
Salvador Rizo;Salvador;Rizo
James Roberts;James;Roberts
John Roberts;John;Roberts
Mary Roberts;Mary;Roberts
Alexander Robertson;Alexander;Robertson
Andrew Robertson;Andrew;Robertson
Archibald Robertson;Archibald;Robertson
Charles Robertson;Charles;Robertson
Walter Robertson;Walter;Robertson
John Robinson;John;Robinson
Joseph Robinson;Joseph;Robinson
José Joaquim da Rocha;José Joaquim da;Rocha
Antonio Rodrigues Belo;Antonio;Rodrigues Belo
Simplicio Rodrigues de Sá;Simplicio;Rodrigues de Sá
José Rodrigues Nunes;José;Rodrigues Nunes
Lucas Rodríguez;Lucas;Rodríguez
Antonio Rodríguez;Antonio;Rodríguez
Bernardo Rodríguez;Bernardo;Rodríguez
Vicente Rodríguez;Vicente;Rodríguez
JoséLuis Rodríguez Alconedo México;José Luis;Rodríguez Alconedo
José Rodríguez Carnero;José;Rodríguez Carnero
José Rodríguez de los Santos;José;Rodríguez de los Santos
Juan Rodríguez Herrera;Juan;Rodríguez Herrera
Francisco Rodríguez Juárez;Francisco;Rodríguez Juárez
José Rodríguez Juárez;José;Rodríguez Juárez
Nicolás Rodríguez Juárez;Nicolás;Rodríguez Juárez
Juan Rodríguez Juárez;Juan;Rodríguez Juárez
Bernardo Rodríguez quiteño;Bernardo;Rodríguez quiteño
Juan Rodríguez Samanes;Juan;Rodríguez Samanes
Nathaniel Rogers;Nathaniel;Rogers
Nicolás Rojo;Nicolás;Rojo
Bartolomé Román;Bartolomé;Román
Gregorio Romero;Gregorio;Romero
George Romney;George;Romney
Francisco Rondón Fray;Francisco;Rondón
George Ropes;George;Ropes
Francisco Javier de la Rosa;Francisco Javier de la;Rosa
Juan José Rosales;Juan José;Rosales
John Rose;John;Rose
Reuben Rowley;Reuben;Rowley
Juan de Ruelas;Juan de;Ruelas
Pedro Ruiz;Pedro;Ruiz
John Russell;John;Russell
Manoel do Sacramento;Manoel do;Sacramento
Juan Sáenz;Juan;Sáenz
Francisco Salamanca;Francisco;Salamanca
Padre Salamanca;Padre;Salamanca
José de Salas;José de;Salas
Antonio Salas;Antonio;Salas
Basilio de Salazar;Basilio de;Salazar
Francisco Javier Salazar;Francisco Javier;Salazar
Basilio Salazar;Basilio;Salazar
José Francisco Xavier de Salazar y Mendoza;José Francisco Xavier de;Salazar y Mendoza
Sebastián Salcedo;Sebastián;Salcedo
Mateo Saldaña;Mateo;Saldaña
Pedro Saldaña;Pedro;Saldaña
Juan Salguero;Juan;Salguero
Erastus Salisbury Field;Erastus;Salisbury Field
Robert Salmon;Robert;Salmon
Francesco Salviati;Francesco;Salviati
Manuel de Samaniego;Manuel de;Samaniego
Diego Samaniego;Diego;Samaniego
B. san Pedro;B.;san Pedro
Juan de San Pedro Flores;Juan de;San Pedro Flores
Diego de Sanabria;Diego de;Sanabria
Antonio Sánchez;Antonio;Sánchez
Gregorio Sánchez;Gregorio;Sánchez
José Sánchez;José;Sánchez
Alonso Sánchez Coello;Alonso;Sánchez Coello
Carlos Sánchez de Medina;Carlos;Sánchez de Medina
Lorenzo Sánchez de Medina;Lorenzo;Sánchez de Medina
Andrés Sánchez Galque;Andrés;Sánchez Galque
Juan Sánchez Salmerón;Juan;Sánchez Salmerón
Paul Sandby;Paul;Sandby
Francisco de Sandoval;Francisco de;Sandoval
Pedro Sandoval;Pedro;Sandoval
Salvador Sandoval;Salvador;Sandoval
Basilio de Santa Cruz Pumacallao;Basilio de;Santa Cruz Pumacallao
Francisco Javier de Santander;Francisco Javier de;Santander
Antonio de Santander;Antonio de;Santander
Isabel de Santiago;Isabel de;Santiago
Miguel de Santiago;Miguel de;Santiago
José Santos Figueroa;José;Santos Figueroa
Henry Sargent;Henry;Sargent
Juan Sarmiento;Juan;Sarmiento
Edward Savage;Edward;Savage
Ary Scheffer;Ary;Scheffer
Schuyler Limner;Limner;Schuyler
SD;;SD
Jean B. Sel;Jean B.;Sel
João de Deus Sepúlveda;João de Deus;Sepúlveda
Manuel de Sepúlveda;Manuel de;Sepúlveda
Manuel de la Serna;Manuel de la;Serna
Francisco Serrano;Francisco;Serrano
Manuel Serrano;Manuel;Serrano
Marcos Serrano;Marcos;Serrano
John Shackleton;John;Shackleton
James Sharples;James;Sharples
Joshua Shaw;Joshua;Shaw
B. Silani Sillberg;B.;Silani Sillberg
Henrique Jose da Silva;Henrique Jose da;Silva
Silva;;Silva
José Patricio da Silva Manso;José Patricio da;Silva Manso
Francisco da Silva Romão;Francisco da;Silva Romão
Francisco Silverio de Sotomayor;Francisco;Silverio de Sotomayor
Mary Jane Simes;Mary Jane;Simes
Antônio Simões Ribeiro;Antônio;Simões Ribeiro
James Alexander Simpson;James Alexander;Simpson
Antonio Sinchi Roca;Antonio;Sinchi Roca
Juan Sinchi Roca;Juan;Sinchi Roca
John Smart;John;Smart
John Smibert;John;Smibert
John Rubens Smith;John Rubens;Smith
James Smith;James;Smith
Samuel Smith;Samuel;Smith
Thomas Smith;Thomas;Smith
José Soares de Araújo;José;Soares de Araújo
Agustín Sojo;Agustín;Sojo
Francisco Solano;Francisco;Solano
Euzébio da Soledade;Euzébio da;Soledade
Gregorio Solís;Gregorio;Solís
Juan de Solórzano;Juan de;Solórzano
Joaquín de Sosa;Joaquín de;Sosa
Tomas de Sosa;Tomas de;Sosa
Thomas Stothard;Thomas;Stothard
Robert Street;Robert;Street
Louisa C. Strobel;Louisa C.;Strobel
Gilbert Stuart;Gilbert;Stuart
José Suárez;José;Suárez
Luke Sullivan;Luke;Sullivan
Lawrence Sully;Lawrence;Sully
Thomas Sully;Thomas;Sully
Pablo José de Talavera;Pablo José de;Talavera
Cristóbal de Talavera;Cristóbal de;Talavera
Manuel Talavera;Manuel;Talavera
Felix Emile Taunay;Felix Emile;Taunay
Nicolas Antoine Taunay;Nicolas Antoine;Taunay
Nicolás Tejada;Nicolás;Tejada
Nicolás Tejada y Pedro de Brizuela;Nicolás y Pedro de;Tejada y Brizuela
The Beardsley Limner;Limner;The Beardsley
The Conant Limner;Limner;The Conant
The Denison Limner;Limner;The Denison
Jeremiah Theus;Jeremiah;Theus
Benjamin Thompson;Benjamin;Thompson
Cephas Thompson;Cephas;Thompson
William Thomson;William;Thomson
Philip Tilyard;Philip;Tilyard
Juan Tinoco;Juan;Tinoco
Cipriano Toledo y Gutiérrez;Cipriano;Toledo y Gutiérrez
Ventura Torijano;Ventura;Torijano
Antonio de Torres;Antonio de;Torres
Blas de Torres;Blas de;Torres
Diego de Torres;Diego de;Torres
Ramón de Torres;Ramón de;Torres
Ramón Torres;Ramón;Torres
Francisco Eduardo Tresguerras;Francisco Eduardo;Tresguerras
Francisco Tresgurras;Francisco;Tresgurras
Francisco Trevisani;Francisco;Trevisani
Benjamin Trott;Benjamin;Trott
John Trumbull;John;Trumbull
Blas Tupac Amaru;Blas;Tupac Amaru
Abraham Tuthill;Abraham;Tuthill
Gabriel Ugarte;Gabriel;Ugarte
Urbina;;Urbina
Joaquín Urrea;Joaquín;Urrea
Juan de Valdés Leal;Juan de;Valdés Leal
Antonio Valdez y Ugarde (Oyardo);Antonio;Valdez y Ugarde (Oyardo)
José de Valladares;José de;Valladares
José Valladares;José;Valladares
Guillermo del Valle;Guillermo del;Valle
Jean François de la Vallée;Jean François de la;Vallée
Francisco Antonio Vallejo;Francisco Antonio;Vallejo
José María Vallejo;José María;Vallejo
Miguel Vallejo;Miguel;Vallejo
Francisco Morales Van Den Eynden;Francisco Morales;Van Den Eynden
Morales Van Eyden;Morales;Van Eyden
Pieter Vanderlyn;Pieter;Vanderlyn
John Vanderlyn;John;Vanderlyn
Francisco Varela;Francisco;Varela
Pedro de Vargas;Pedro de;Vargas
Baltasar Vargas de Figueroa;Baltasar;Vargas de Figueroa
John Varley;John;Varley
Domingo de Vasconcellos;Domingo de;Vasconcellos
Juan Bautista Vásquez;Juan Bautista;Vásquez
Diego Vásquez;Diego;Vásquez
Mariano Vásquez A.;Mariano;Vásquez A.
Gregorio Vásquez de Arce y Ceballos;Gregorio;Vásquez de Arce y Ceballos
José María Vázquez;José María;Vázquez
Alonso Vázquez;Alonso;Vázquez
José Joaquín de la Vega;José Joaquín de la;Vega
Luis de la Vega Lagarto;Luis de la;Vega Lagarto
Cristóbal Vela Cobo;Cristóbal;Vela Cobo
Francisco Velázquez;Francisco;Velázquez
Lourenço Veloso;Lourenço;Veloso
Magdalena Ventura del Smo. Sacramento;Magdalena;Ventura del Smo. Sacramento
Juan de Vera;Juan de;Vera
Alonso Vera de la Cruz;Alonso;Vera de la Cruz
Juan Bautista Vermay;Juan Bautista;Vermay
William Verstille;William;Verstille
Antonio Vilca;Antonio;Vilca
Lorenzo de Villa;Lorenzo de;Villa
Manuel Villa;Manuel;Villa
Juan de Villalobos;Juan de;Villalobos
Juan Villalobos;Juan;Villalobos
Carlos de Villalpando;Carlos de;Villalpando
Cristóbal de Villalpando;Cristóbal de;Villalpando
Manuel Villavicencio;Manuel;Villavicencio
Juan de Villegas;Juan de;Villegas
Pedro de Villegas;Pedro de;Villegas
Joaquín Villegas;Joaquín;Villegas
Pedro Villegas Marmolejo;Pedro;Villegas Marmolejo
Juan Visier;Juan;Visier
Charles Frederick Von Breda;Charles Frederick;Von Breda
Martín de Vos;Martín de;Vos
Samuel Lovett Waldo;Samuel Lovett;Waldo
Samuel Waldo;Samuel;Waldo
Thomas Wale;Thomas;Wale
John Watson;John;Watson
S. Wehry;S.;Wehry
Carl Weinedel;Carl;Weinedel
Adolf Ulric Wertmüller;Adolf Ulric;Wertmüller
George William West;George William;West
William Edward West;William Edward;West
Benjamin West;Benjamin;West
T. Wheeler;T.;Wheeler
John Blake White;John Blake;White
S. Whiting;S.;Whiting
J. Wiess;J.;Wiess
Frank William Wilkin;Frank William;Wilkin
William Williams;William;Williams
Henry Williams;Henry;Williams
William Winstanley;William;Winstanley
John Wollaston;John;Wollaston
Joseph Wood;Joseph;Wood
Joseph Wright;Joseph;Wright
Ximénes;;Ximénes
Rafael Ximeno y Planes;Rafael;Ximeno y Planes
Juan Manuel Yllanes del Huerto;Juan Manuel;Yllanes del Huerto
Talavera ymbent;Talavera;ymbent
Thomas Young;Thomas;Young
Agustín Zamora;Agustín;Zamora
José Hilario zapata;José Hilario;zapata
Marcos Zapata;Marcos;Zapata
Juan Zapata Inca;Juan;Zapata Inca
Alfonso de Zarate;Alfonso de;Zarate
Félix Zarte;Félix;Zarte
Esteban Zeballos;Esteban;Zeballos
Miguel Jerónimo Zendejas;Miguel Jerónimo;Zendejas
Lorenzo Zendejas;Lorenzo;Zendejas
Johan Zoffany;Johan;Zoffany
Gabriel de Zúñiga;Gabriel de;Zúñiga
Francisco de Zurbarán;Francisco de;Zurbarán
José Lorenzo Zurita;José Lorenzo;Zurita