"nombredes";"ID"
"Corderos, uvas";1
"?";2
"Abrazo";3
"Abrazo de José y Jesús";4
"Abrazo de María y Jesús";5
"Aclla Mama";6
"Adán";7
"Adan y Eva";8
"Adoración";9
"adoración a Jesús";10
"Adoración Reyes Magos";11
"Adoracion Santisimo";12
"Adoracion Santisimo/Villalpando";13
"Adoración santos";14
"Advocaciones de la Virgen";15
"África";16
"Agua";17
"Águila";18
"ALA";19
"Alegoria";20
"Alegoría";21
"Alimento";22
"Alma";23
"Almas";24
"Altar con flores";25
"Altar/Virgen María";26
"Amamanta";27
"Amamanta/ Angeles";28
"Amamanta/Conquistadores";29
"Amamantar/corona redonda de colores de Maria";30
"América";31
"Amistad";32
"Amor";33
"Anagramas";34
"Ancestros de Jesús";35
"Angel";36
"Ángel";37
"Angel de la guarda";38
"Angel virtuoso";39
"Angeles";40
"Ángeles";41
"ángeles cargando santa";42
"Angeles con atributos";43
"Angeles musicos";44
"Ángeles orando";45
"Ángeles sin cuerpo";46
"Ángeles y arcángeles";47
"Angeles y espíritu santo";48
"Angeles/sombrero de plumas";49
"Angeli";50
"angelología profética";51
"Animas";52
"Anunciación";53
"Anunciación (Huída a Egipto).";54
"Aparicion de la Virgen";55
"Apolo";56
"Apoteósis del rosario";57
"Árbol";58
"Árbol deshojado";59
"Arca de la Alianza";60
"Arcángel";61
"Arcangeles";62
"Arcángeles";63
"Archangeli";64
"Arco";65
"Arcos";66
"Arellano";67
"Armadura";68
"Armas/Virgen de Monserrat";69
"arrepentimiento";70
"Arte plumario";71
"Arte plumario/Retrato";72
"Asia";73
"Asunción jesuitas";74
"Atributos";75
"Aureolas y trajes con hojilla de oro";76
"Avaricia";77
"Avaro";78
"Aves";79
"Aves y flores";80
"Azucenas";81
"Azucenas y triángulo/trinidad";82
"BADO";83
"Balanza";84
"Barbosa-Stern";85
"Barca";86
"Barrabas";87
"Batalla Pamplona";88
"Batalla/conversion";89
"Batalla/heridas";90
"Bautismo";91
"Bebe";92
"Belen";93
"Bendicion/Papa Ignacio";94
"Bendicion/Papa Paulo";95
"Bien";96
"bien/mal";97
"Bosque/Conversión/Caballo";98
"Buen pastor";99
"Caballo";100
"Caballos";101
"Cabello";102
"Cabra";103
"Caciques";104
"Caida de los ídolos";105
"Cáliz";106
"Cáliz, lagar.";107
"Camello";108
"Camellos";109
"Caminando";110
"Camino al Calvario";111
"Camino/Árboles";112
"Campesinos/Trigo";113
"Canasta con niño Jesús";114
"Caquiaviri";115
"Cardenal";116
"Carmelitas";117
"Carpintería";118
"Carro";119
"Carros de triunfo";120
"Cascada/Ángel";121
"Celeste";122
"Cena apostoles";123
"Cetro";124
"Chile";125
"Cielo";126
"Cielo e Infierno";127
"Circular/paloma espíritu santo";128
"Ciudad";129
"Ciudad de Jerusalen";130
"Clavos";131
"Clérigo";132
"Columna";133
"Comunidad religiosa";134
"Comunión";135
"Comunión con divino niño";136
"CONCEBIDA";137
"Condena";138
"Condenado";139
"Condenados";140
"Confesion";141
"Confirmacion";142
"Conmemorativo";143
"Conquista española";144
"Conquistadores/Campesinos";145
"Conquistadores/Campesinos/Caída de los ídolos";146
"Constituciones/Virgen";147
"Constituciones/Virgen y Tirnidad";148
"Construcción";149
"Contacto santa cristo";150
"Conversion";151
"Conversion/Virgen Maria";152
"Corazón";153
"corazón de Jesús";154
"corazón de Jesús y de María";155
"corazón de María";156
"corazón del hombre";157
"corazón herido";158
"Corazones";159
"Cordero";160
"Corderos";161
"Coro de ángeles";162
"Corona";163
"Corona de espinas";164
"Corona de rosas";165
"Corona de rosas/Aureola y trajes con hojilla de oro";166
"Corona/Hojilla de Oro";167
"Coronación";168
"Coronación de la virgen";169
"Coronas de flores";170
"Corte Celestial";171
"Corte de santos";172
"Corte de Santos y Trinidad";173
"Cortina roja";174
"Cráneo";175
"Credo";176
"Credo Apostolico";177
"Cristo";178
"Cristo adulto";179
"Cristo burlas";180
"Cristo cargando cruz";181
"Cristo columna";182
"Cristo crucificado";183
"Cristo de la vara";184
"Cristo en la celda";185
"Cristo en la cruz";186
"Cristo recoge las vestiduras";187
"Cristo Sentencia";188
"Cristo vestiduras";189
"Cristo, sangre de Cristo.";190
"Cruces";191
"Crucifixión";192
"Crucifixión Cristo";193
"Cruz";194
"Cruz de caña";195
"Cruz y azucenas";196
"Cuadricéfalo";197
"Cuadro en el cuadro";198
"Cuatro continentes";199
"Cuatro ríos del paraíso";200
"Cuerno con flores";201
"Cuerpo";202
"Cuerpos masculinos desnudos";203
"Cueva Manresa";204
"Cupidos, amores.";205
"Curacion del Energúmeno";206
"Cusco";207
"Custodia";208
"David ";209
"DE PECADO";210
"Demonio";211
"Demonio y Libros";212
"Demonios";213
"Descanso";214
"Desposorios";215
"Desposorios místicos";216
"Devoción";217
"devoción corazón de Jesús";218
"Devocion Santa Catalina";219
"Dios";220
"Dios Padre";221
"Dios Padre y ángeles";222
"Dios Padre y espíritu santo/paloma";223
"Dios Padre, ángeles y la Virgen María";224
"Dios Padre/Espiritu santo";225
"Dios Padre/San Juan Bautista";226
"Dios Piedad";227
"Disciplina";228
"Discusión";229
"Divina pastora";230
"Dobla mantas";231
"Doctores de la iglesia de occidente.";232
"Dogma de la Inmaculada";233
"Dogma Inmaculada";234
"Dogma Inmaculada Concepción";235
"Dolorosa";236
"Doloroso";237
"Donante";238
"Donante/Purgatorio";239
"Donantes";240
"Dormitorio";241
"Dragón";242
"Ecce homo";243
"Ecuador/Miguel de Santiago";244
"Eden";245
"Egipto";246
"Ejercicios espirituales/Trinidad";247
"Elefante";248
"Elefantes";249
"ELS??S";250
"Embajada";251
"Embarazo";252
"Emblema";253
"Empadronamiento";254
"Enseñanza";255
"Entierro";256
"Entrada a Jerusalen";257
"Escalera/Techo";258
"Escenas de la vida de Jesús";259
"escenas vida de Jesús";260
"Esconchado en Madera";261
"Escritura mística";262
"Eseñanza niños";263
"Espada";264
"Esperanza";265
"Espigas de trigo";266
"Espíritu";267
"Espiritu santo";268
"Espiritu santo/paloma";269
"Esqueleto";270
"Esquilo";271
"Estandarte";272
"Estigma";273
"Estigmas";274
"Eucaristia";275
"Eucaristía ";276
"Eucaristia/Custodia";277
"Europa";278
"Eva";279
"Eva/Ave";280
"Evangelistas";281
"Exorcizando";282
"Extasis";283
"Éxtasis";284
"Extendida";285
"Familia";286
"Familia de la Santa";287
"Fe";288
"Figura de la soberbia";289
"Filactelia";290
"Flagelación";291
"Flagelación de cristo";292
"Flores";293
"Flores y trajes con hojilla de oro";294
"Fondo celeste";295
"Formato circular";296
"Fortuna";297
"Francisco Javier";298
"Fuego";299
"Fuente";300
"Fuente.";301
"Gallinas";302
"Genealogía de la Virgen";303
"Girasol";304
"Glorias de María";305
"Glorificación";306
"Goliat";307
"Golpiza ocn palos/moros";308
"Gran libro cerrado";309
"Granadillo";310
"Herejía";311
"Hermana y santa";312
"Historia santa";313
"Holofernes";314
"Hombre";315
"Honor";316
"Huida";317
"iconografia de los 7 ángeles del Apocalipsis Nova";318
"iconografía mariana s. XVIII";319
"Idólatras";320
"Iglesia";321
"Iglesia/santos/angeles";322
"Ignacio de Loyola";323
"Iluminado/santos/ José joven";324
"Imagen de cristo";325
"Impío";326
"Imposición del hábito";327
"Inca";328
"Incensario";329
"Incensarios";330
"Indígena";331
"Indígenas";332
"Indigenas/criollos";333
"Indio";334
"Indios";335
"Infierno";336
"Inmaculada";337
"Inmaculada Concepción";338
"Inmaculada Cristo";339
"Inmaculanda";340
"Inocencia";341
"Intercambio de corazones";342
"Interior iglesia";343
"Invierno";344
"Jaguar";345
"Jardín";346
"Jardín del paraíso";347
"Jardín/Flores";348
"Jesuitas";349
"Jesuitas/Casas";350
"Jesús";351
"Jesús con baston";352
"Jesús con cinta verde";353
"Jesús con cruz";354
"Jesús con flores";355
"Jesús con llaves";356
"Jesús con orbe";357
"Jesus con orbe/paloma con corona de espinas";358
"Jesús con vara florida";359
"Jesús desnudo";360
"Jesús dormido";361
"Jesús imberbe";362
"Jesús niño";363
"Jesús Pontifical";364
"Jesús rey";365
"Jesús sobre cordero";366
"Jesús y santa";367
"Jose";368
"José";369
"José con azucenas";370
"José con azucenas y Jesús con cruz";371
"José con corona";372
"José con corona de azucenas";373
"José con corona de flores";374
"José con fruta, Jesús con azucena";375
"José con malki roja";376
"José dormido";377
"José en un árbol";378
"José ofrece fruta";379
"José y Jesús con cántaros";380
"Judas Tadeo";381
"Judith";382
"Juego de dados";383
"Juicio Final";384
"Justicia";385
"Justo";386
"Juventud";387
"La buena y la mala muerte";388
"La Unicion";389
"Lactación";390
"Lagar";391
"lagar místico";392
"Lampara";393
"Lanza";394
"Látigo";395
"Laud";396
"Lavacion de los pies";397
"Lavando ropa en un río/Virgen con sombrero";398
"Lectura";399
"Leones y caimán";400
"Letanías";401
"Letanias lauretanas";402
"Leviatán";403
"Ley";404
"Libro";405
"Libros";406
"Lienzo de La Verónica";407
"Lima y Cusco";408
"Lirios";409
"Locura";410
"Madre Santa";411
"Madre y Santa";412
"Majestad";413
"Mal";414
"Manojo de Espigas";415
"Manos de Dios";416
"Mar";417
"Marco de flores";418
"MARIA";419
"María amamanta a Jesús";420
"María cocina";421
"María con corona";422
"María con sombrero";423
"María Inmaculada de Guadalupe";424
"María, San Juan, querubines.";425
"Martillo";426
"Martirio Dios Tunupa";427
"Matrimonio";428
"Media luna.";429
"Medigo";430
"Melancolía";431
"MENTO";432
"Mercaderes";433
"Mesa";434
"Mesa con florero";435
"Mesa con frutas";436
"Mesa con mantel rojo";437
"México";438
"Miguel Cabrera";439
"Milagro";440
"Milagro de la Palmera";441
"Milagros";442
"Milagros/demonios";443
"Ministerio";444
"Mirada divina";445
"Misa";446
"Misa/Jesuitas";447
"Misterios de Rosario";448
"Misterios del rosario";449
"misterios dolorosos";450
"misterios gozosos";451
"Monasterio Carmelitas Descalzas.";452
"Monja";453
"Monjas  y santa";454
"monjas frente a seglares";455
"Monograma de Cristo";456
"monograma de Jesús";457
"Moribundo";458
"Muchedumbre";459
"Muerte";460
"Muerte de santa";461
"Muerte de Santa Rosa de Lima";462
"Muerte santa";463
"Muerte y milagros";464
"Muerte y Santidad/Miguel Cabrera";465
"Muerte, Purgatorio e Infierno";466
"Muerte/Batalla";467
"Mujer";468
"Multiplicación panes";469
"Mundo";470
"Mural";471
"Muro";472
"Muro de Jericó";473
"Musa";474
"Musica";475
"Música";476
"Musicos";477
"Nacimiento";478
"Nacimiento/Miguel Cabrera";479
"Nacimiento/Villalpando";480
"Nacimientod de Santa Rosa";481
"Natividad";482
"NI DEUDA";483
"Niño";484
"Niño Jesús";485
"Niño/corazón";486
"Niño/corazón/corona de flores";487
"Niño/piel oscura";488
"Niños";489
"Nueva Jerusalén";490
"Obelisco";491
"Obispo y Rey de España";492
"Oficio manual";493
"Ofrecimiento de flores";494
"Oleo sobre madera";495
"Oración";496
"Oración en el huerto";497
"Oración huerto";498
"Orbes";499
"Orden";500
"Orden de Sacerdote";501
"Orden franciscana";502
"Orden jesuita";503
"Órdenes franciscanas";504
"Órdenes Religiosas";505
"Oval";506
"Paciencia";507
"Padre e hija santa";508
"Padres de la Iglesia";509
"Paisaje";510
"Paloma";511
"Paloma/Ángeles";512
"Palomas";513
"Papa";514
"Papa y Rey de España";515
"Papa, rey.";516
"Papa/Compañia de Jesús";517
"Parabola/sermón";518
"Pasión";519
"Pasión Cristo";520
"Pasión de Cristo";521
"Patria/santo";522
"Patrocinio";523
"pecado";524
"Pecador";525
"Pecados, Cavernas";526
"Pena";527
"Pensante";528
"Pergaminos";529
"Perro";530
"Perros";531
"Piedad";532
"Pintura dorada";533
"Pintura dorada/ Pretendiente rechazado";534
"Plamas del martirio";535
"Plataforma celeste/coronas de rosas";536
"Plato";537
"Plato con guante y joyas";538
"Plato con jarra";539
"Plumario";540
"Pobres";541
"Pobreza";542
"Política";543
"Polvo";544
"Posada";545
"Postestates";546
"Postrimería";547
"Postrimerias";548
"postrimerías";549
"Predicacion";550
"premonición de la pasión ";551
"Prendedor de cabello de la Virgen/ Mantilla sacerdote/ Pretendiente rechazado";552
"Prensa mística";553
"Preso/Alcalá";554
"Pretendiente";555
"Pretendiente rechazado";556
"Pretendiente rechazado/libro";557
"Primavera";558
"Primeros Jesuitas (9)";559
"Principatus";560
"Procesión";561
"Prodigalidad";562
"Profesion/Sacerdote";563
"Purgatorio";564
"Putrefacción";565
"Querubines";566
"Rama de laurel";567
"Rama de olivo";568
"Rama de palmera";569
"Ramo";570
"Ramo de flores";571
"Recien nacida";572
"Recipiente";573
"recoge las vestiduras";574
"Rector le pide perdon";575
"Redención";576
"Redondel rojo sobre sacerdote";577
"Regreso";578
"Reloj";579
"Resurrección";580
"Retrato";581
"Retrato Jesús ecce-homo";582
"Retrato Santo";583
"Rey";584
"Rico";585
"Riqueza";586
"Ropas y bolso indígena";587
"Rueda";588
"Sabio";589
"Sacerdote";590
"Sacerdote/ Quito/Hernando de la Cruz";591
"SACRA";592
"Sacramento";593
"Sagrada Familia";594
"sagrado corazón";595
"Sagrado Rostro";596
"Salamanca";597
"Salvación";598
"San Agustin y Santa Teresa";599
"San Felipe Neri";600
"San Francisco";601
"San Francisco de Asis";602
"San Francisco Javier";603
"San Gabriel arcangel";604
"San Ignacio";605
"San Ignacio de Loyola";606
"San Ignacio de Loyola/San Francisco Javier/Santa Gertrudis?";607
"San Jerónimo";608
"San Joaquin";609
"San Joaquín";610
"San Joaquin y Santa Ana";611
"San Joaquín y Santa Ana/Esconchado";612
"San Joaquín/Aureolas y traje con hojilla de oro";613
"San Joaquín/Joven";614
"San José";615
"San Juan Bauitsta/ Angel";616
"San Juan Bautista";617
"San Juan bautista Niño";618
"San Juan Bautista y Santa Isabel";619
"San Juan Bautista/ Espiritu santo";620
"San Luis gonzaga";621
"San Miguel";622
"San Miguel Arcángel";623
"San Nicolás de Tolentino";624
"San Pedro";625
"San Pedro Apostol";626
"San Zacarías";627
"Sangre de Cristo";628
"Santa Ana";629
"Santa Ana y San Joaquín";630
"Santa Ana/Aureolas y trajes con hojilla de oro";631
"Santa Ana/Mina";632
"Santa bebe del costado de cristo";633
"Santa Brígida";634
"Santa Caralina de Siena";635
"Santa Catalina de Siena";636
"Santa Cecilia";637
"Santa con emblemas";638
"Santa en oración";639
"Santa Gertrudis la Magna";640
"Santa Isabel y San Juan Bautista";641
"Santa Isabel, San Zacarías y San Juan Bautista";642
"Santa Niña";643
"Santa Rita de Casia";644
"Santa Rosa corta su cabello";645
"Santa Rosa de Lima";646
"Santa Rosa rechaza pretendiente";647
"Santa Rosalía";648
"Santa Teresa de Jesús";649
"Santas";650
"santas órdenes femininas";651
"Santisima Trinidad";652
"Santo con hermana";653
"Santo Domingo";654
"Santo Domingo y San Francisco";655
"Santo Tomas e Indigenas";656
"Santos";657
"Santos Fundadores";658
"Santos jesuitas";659
"SEA";660
"Sello JHS";661
"Sentencia Jesús";662
"Seraphim";663
"Serpiente/demonio";664
"Sevilla";665
"Sibila";666
"Silla/Trono sobre asno";667
"símbolos de la pasión";668
"Símbolos marianos";669
"símbolos pasión";670
"Simio rey";671
"Simios";672
"Sócrates";673
"Sol y Luna";674
"Sombrero de plumas";675
"Sombrero María, aureolsa doradas";676
"Sueño";677
"Sueño José";678
"Taller";679
"Tambor";680
"Tentación";681
"Tiara imperial y llaves de San Pedro";682
"Tiempo";683
"Tierra Santa";684
"Torre";685
"Tortuga";686
"Torturas";687
"Torturas y pecados";688
"Torturas, Indígenas y demonios";689
"Torturas, Pecados";690
"Trabajo";691
"Traje colonial";692
"Traje colonial/reyes";693
"Traje medieval";694
"Traje renancetista/Detalle";695
"Traje y sombrero";696
"Traje y sombrero renacentista de la Virgen";697
"Trajes con estampados de flores";698
"Trajes españoles";699
"Trajes moriscos/renacentistas";700
"Trajes renacentistas/corona de flores de María";701
"Trajes renacentistas/corona de María";702
"Transfiguración";703
"Transfiguración del rostro";704
"Trifacial";705
"Trinidad";706
"Trinidad y angeles";707
"Trinidad/Guadalupana";708
"Trinidad/sello IHS";709
"Tristeza por muerte";710
"Trnidad";711
"Trono";712
"Última cena";713
"Uvas";714
"Uvas.";715
"Vaca/Casa/Garzas";716
"Vanidad";717
"Vanitas";718
"Vara florida";719
"Vara flroida";720
"Varias escenas";721
"vencimiento del mal";722
"Venecia";723
"Veneración santo";724
"Vestido quiteño";726
"Vía purgativa";727
"vicios";729
"Vida santa";730
"Vidrio";731
"Villa europea";732
"Villalpando";733
"Virgen";734
"Virgen Apocalíptica";735
"Virgen con niño";736
"Virgen con sombrero";737
"Virgen de Guadalupe";738
"Virgen del Carmen";739
"Virgen del Carmen y San Francisco de Asis";740
"Virgen del Rosario";741
"Virgen Dolorosa";742
"Virgen Maria";743
"Virgen María";744
"Virgen María con NIño ";745
"Virgen Maria de Monserrat";746
"Virgen María y San José";747
"Virgen María.";748
"Virgen Maria/Ejercicios espirituales";749
"Virgen Maria/San Miguel arcangel";750
"Virgen Sol de Justicia";751
"Virgen y Angel";752
"Virgen y niño Jesús";753
"Virgen y San Jose";754
"Virgen/Demonio";755
"Virgen/Manresa";756
"Virtud";757
"Virtudes";758
"Virtudes Teologales";759
"Vision";761
"Visión";762
"Vision camino a Roma";763
"Vision de la batalla entre el ejercito de Dios y de Lucifer";764
"Visión de San Juan Evangelsita";765
"Visión Espiritu santo";766
"Visita Santos Lugares";767
"Y LA VIRGEN";768
"Castillo";769
"Candelaria";770
"Columna salomónica";771
"Báculo";772
"dorado";773
"Santa Clara";774
"Apóstoles";775
"tronos";776
